timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
675454562,675454279,0.99936754,0.009489426,0.03216036,-0.011840469,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
675459511,675459221,0.99936754,0.009490293,0.032160237,-0.011839901,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
675503980,675503700,0.9993677,0.0094897365,0.03215631,-0.011842241,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
675553415,675553116,0.9993674,0.009491999,0.032165326,-0.011842934,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
675607749,675607476,0.9993674,0.009494286,0.03216029,-0.01184574,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
675657186,675656895,0.9993673,0.009491724,0.03216404,-0.011848797,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
675706590,675706313,0.9993674,0.009491404,0.03216059,-0.01184692,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
675756023,675755731,0.9993674,0.009493706,0.03216093,-0.011848313,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
675805429,675805152,0.99936754,0.009491359,0.03216025,-0.01184783,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
675854843,675854568,0.9993675,0.009484439,0.032161865,-0.0118498,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
675904281,675903986,0.9993674,0.00948963,0.032161232,-0.011851773,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
675953715,675953405,0.999365,0.009521934,0.03216567,-0.012022328,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676003117,676002823,0.9993696,0.009573413,0.032170173,-0.011572895,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676052511,676052242,0.9993692,0.009544595,0.032168154,-0.011633952,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676106910,676106602,0.9993669,0.009478015,0.03215918,-0.011914753,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676156294,676156020,0.99936783,0.009477876,0.03219283,-0.01173822,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676205769,676205439,0.9993697,0.009506673,0.03216716,-0.011627354,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676255150,676254858,0.9993675,0.0094986735,0.032175977,-0.011799005,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676304546,676304276,0.999368,0.009493523,0.032167025,-0.01177695,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676353981,676353694,0.99936926,0.0095236115,0.03217212,-0.01163929,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676403425,676403112,0.99936765,0.009526964,0.0321813,-0.011743951,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676457736,676457473,0.9993669,0.00950757,0.032178164,-0.011832047,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676507162,676506891,0.9993693,0.009513053,0.032165464,-0.011659197,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676556613,676556309,0.999371,0.009496687,0.03212883,-0.011633323,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676606028,676605728,0.99937063,0.009495986,0.032090306,-0.011768618,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676655406,676655146,0.99937207,0.009482994,0.03205708,-0.011742631,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676704826,676704565,0.99937665,0.009485353,0.03195633,-0.011625419,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676754247,676753983,0.99937725,0.009475406,0.031926513,-0.011661224,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676808624,676808343,0.9993788,0.009445498,0.031882543,-0.01167382,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676858041,676857762,0.9993812,0.009427993,0.03182558,-0.011640064,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676902498,676902238,0.9993832,0.009409811,0.031783607,-0.011602286,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
676951927,676951657,0.99938,0.009440862,0.03186864,-0.011620704,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677006285,677006017,0.99938285,0.009371286,0.03181321,-0.0115792835,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677055718,677055435,0.9993815,0.009391413,0.031833,-0.011632052,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677105144,677104854,0.9993832,0.00938563,0.03177713,-0.011638166,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677154557,677154272,0.9993852,0.0093645835,0.031732444,-0.01159879,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677203963,677203691,0.9993856,0.009371101,0.03173513,-0.011558983,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677253403,677253109,0.99938357,0.009381126,0.031804565,-0.011535859,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677302794,677302527,0.99938583,0.009337919,0.031751193,-0.011519976,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677357154,677356888,0.9993854,0.009431584,0.03177849,-0.011402563,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677406568,677406306,0.99938905,0.009359138,0.03172051,-0.011302821,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677456037,677455724,0.9993896,0.009290778,0.031764273,-0.0111876065,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677505408,677505143,0.9993899,0.00924587,0.031786084,-0.011145108,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
