timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],reversible_flags
133494912,133494759,0.013584366,0.038297214,0.053799298,0.025581175,nan,nan,nan,nan,0
133497367,133497230,0.014932965,0.039180852,0.055078335,0.028346855,nan,nan,nan,nan,0
133596212,133596073,0.032980263,0.055934463,0.07147405,0.044654194,nan,nan,nan,nan,0
133697539,133697387,0.049843386,0.07249334,0.09079507,0.06488153,nan,nan,nan,nan,0
133795131,133794995,0.06916641,0.09258028,0.10944604,0.08454649,nan,nan,nan,nan,0
133896447,133896309,0.0881185,0.116658695,0.13024999,0.103873245,nan,nan,nan,nan,0
133995293,133995152,0.111384034,0.13991305,0.15108173,0.12581475,nan,nan,nan,nan,0
134096597,134096466,0.13076855,0.16203938,0.18032771,0.14830013,nan,nan,nan,nan,0
134197919,134197780,0.16474605,0.18719964,0.20207043,0.17815991,nan,nan,nan,nan,0
134295527,134295388,0.18850645,0.21280974,0.22420755,0.19905627,nan,nan,nan,nan,0
134396836,134396702,0.21600093,0.24756436,0.2617934,0.22183447,nan,nan,nan,nan,0
134495681,134495545,0.24190427,0.26905948,0.2926761,0.2590457,nan,nan,nan,nan,0
134597001,134596859,0.26974753,0.28763303,0.32025367,0.30458653,nan,nan,nan,nan,0
134694599,134694467,0.2990438,0.33074823,0.35350782,0.3225997,nan,nan,nan,nan,0
134795922,134795781,0.3371951,0.37225527,0.3805797,0.34846666,nan,nan,nan,nan,0
134898471,134898331,0.36070696,0.4141413,0.42178673,0.3713382,nan,nan,nan,nan,0
134996074,134995938,0.40891477,0.4604096,0.45862612,0.38721427,nan,nan,nan,nan,0
135097390,135097253,0.41023886,0.4901246,0.5216379,0.44305578,nan,nan,nan,nan,0
135195002,135194863,0.3948661,0.4828378,0.60073775,0.5085558,nan,nan,nan,nan,0
135297545,135297410,0.46042523,0.6027932,0.62657803,0.46354467,nan,nan,nan,nan,0
135395151,135395017,0.5006314,0.76118845,0.64600384,0.35934445,nan,nan,nan,nan,0
135496467,135496332,0.41173396,0.66468114,0.7548635,0.436158,nan,nan,nan,nan,0
135597789,135597647,0.53227675,0.7440026,0.73802525,0.29443252,nan,nan,nan,nan,0
135695390,135695253,0.6426784,0.66435474,0.8818833,0.13979736,nan,nan,nan,nan,0
135797957,135797803,0.7399525,0.59678286,0.9710173,1.0348389e-12,nan,nan,nan,nan,0
135895547,135895411,0.7630151,0.5261814,0.9866649,0.03365924,nan,nan,nan,nan,0
135996864,135996725,0.73360837,0.5678471,0.8758984,0.1703912,nan,nan,nan,nan,0
136094465,136094332,0.67361957,0.5217422,0.8455603,0.35147324,nan,nan,nan,nan,0
