timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],reversible_flags
420864013,420863738,2.0976328e-12,0.03347896,0.03653314,0.00305418,nan,nan,nan,nan,0
420865366,420865069,1.7474472e-12,0.03351986,0.03661773,0.0030978713,nan,nan,nan,nan,0
420966328,420966050,2.851687e-11,0.0354518,0.039183915,0.0037321255,nan,nan,nan,nan,0
421064580,421064312,1.2717445e-11,0.031974845,0.03474619,0.002771345,nan,nan,nan,nan,0
421165579,421165288,4.123306e-12,0.034566175,0.036087755,0.0015215833,nan,nan,nan,nan,0
421263893,421263618,1.3348317e-10,0.024969663,0.029359331,0.004389668,nan,nan,nan,nan,0
421366193,421365921,8.378365e-11,0.022055395,0.0506817,0.0286263,nan,nan,nan,nan,0
421467099,421466831,0.004470373,0.035218433,0.055540103,0.0069105495,nan,nan,nan,nan,0
421565404,421565136,0.002304793,0.039489403,0.031008031,0.0020588601,nan,nan,nan,nan,0
421666353,421666086,0.0014802086,0.042264715,0.033505596,0.0024263058,nan,nan,nan,nan,0
421764736,421764467,0.00010348888,0.032173198,0.042277057,0.009793394,nan,nan,nan,nan,0
421865671,421865402,2.3398406e-13,0.03524879,0.038193382,0.0029445936,nan,nan,nan,nan,0
421963962,421963697,0.0066754096,0.04513525,0.039770205,0.0049052746,nan,nan,nan,nan,0
422066256,422065968,0.02169394,0.055780366,0.05848783,0.029003682,nan,nan,nan,nan,0
422167216,422166949,0.040607344,0.07332328,0.08087538,0.045136686,nan,nan,nan,nan,0
422265560,422265296,0.06171244,0.09660938,0.095798686,0.057835467,nan,nan,nan,nan,0
422366507,422366241,0.082365364,0.114862576,0.1135287,0.07957129,nan,nan,nan,nan,0
422464801,422464533,0.09806987,0.1530119,0.14062229,0.09095295,nan,nan,nan,nan,0
422565758,422565491,0.12216176,0.16707537,0.16683877,0.115157954,nan,nan,nan,nan,0
422664069,422663800,0.1455544,0.18210675,0.18665116,0.14955258,nan,nan,nan,nan,0
422765070,422764804,0.16754086,0.21092837,0.21885373,0.17401986,nan,nan,nan,nan,0
422867303,422867034,0.19767101,0.23281938,0.24017252,0.20502433,nan,nan,nan,nan,0
422965671,422965401,0.22390911,0.27338466,0.27154663,0.22650445,nan,nan,nan,nan,0
423066626,423066360,0.25778872,0.30976114,0.3000323,0.24069595,nan,nan,nan,nan,0
423164899,423164627,0.28389162,0.3240435,0.3318623,0.2829931,nan,nan,nan,nan,0
423265914,423265646,0.3166643,0.36111888,0.35622337,0.32233956,nan,nan,nan,nan,0
423364238,423363969,0.3511377,0.40677047,0.38593796,0.3441244,nan,nan,nan,nan,0
423465163,423464897,0.37380233,0.43613064,0.43809098,0.38818568,nan,nan,nan,nan,0
423567401,423567134,0.4188663,0.47764167,0.47300896,0.4017084,nan,nan,nan,nan,0
423665753,423665483,0.44676507,0.52563244,0.51923954,0.42908353,nan,nan,nan,nan,0
423766735,423766467,0.48133066,0.6054263,0.546879,0.41466942,nan,nan,nan,nan,0
423865000,423864735,0.48222733,0.63986534,0.60688967,0.47159344,nan,nan,nan,nan,0
423965964,423965698,0.44041687,0.6692384,0.6734741,0.4761226,nan,nan,nan,nan,0
424064332,424064065,0.4489752,0.7174161,0.66428787,0.4264413,nan,nan,nan,nan,0
424165326,424165033,0.5162336,0.6611115,0.684487,0.44784895,nan,nan,nan,nan,0
424267566,424267300,0.486398,0.6784825,0.6419199,0.5170437,nan,nan,nan,nan,0
424364527,424364261,0.47812423,0.64398515,0.6446429,0.55607635,nan,nan,nan,nan,0
424466812,424466546,0.45177945,0.64264035,0.64699024,0.57477003,nan,nan,nan,nan,0
424565171,424564903,0.48472515,0.7187559,0.6008332,0.52797484,nan,nan,nan,nan,0
424666091,424665822,0.47029638,0.73974955,0.5955661,0.54930276,nan,nan,nan,nan,0
424764447,424764177,0.47217038,0.75071025,0.59437144,0.5588798,nan,nan,nan,nan,0
424865401,424865134,0.49774677,0.76366055,0.5963431,0.5552824,nan,nan,nan,nan,0
424967678,424967410,0.46475223,0.70926684,0.6520565,0.57920384,nan,nan,nan,nan,0
425064672,425064402,0.5053555,0.7368757,0.6119639,0.56585705,nan,nan,nan,nan,0
425166961,425166694,0.4759866,0.7282884,0.6418131,0.57477754,nan,nan,nan,nan,0
425265243,425264966,0.4968262,0.7408639,0.61244035,0.5692672,nan,nan,nan,nan,0
425366190,425365921,0.4985456,0.7425105,0.63686097,0.5714539,nan,nan,nan,nan,0
425464525,425464258,0.48001707,0.7258718,0.6519745,0.582787,nan,nan,nan,nan,0
